gene,rank,tissue
MALAT1,1,Amygdala
PCDH9,2,Amygdala
DPP10,3,Amygdala
DSCAM,4,Amygdala
MACF1,5,Amygdala
LUC7L3,6,Amygdala
FRMD4A,7,Amygdala
PTPRG,8,Amygdala
TNR,9,Amygdala
ATP10A,10,Amygdala
LSAMP,11,Amygdala
IL1RAPL1,12,Amygdala
KCNIP4,13,Amygdala
DST,14,Amygdala
RORA,15,Amygdala
NRXN1,16,Amygdala
RNF220,17,Amygdala
LRP1B,18,Amygdala
RBM25,19,Amygdala
DLG2,20,Amygdala
LHFPL3,21,Amygdala
HSP90AA1,22,Amygdala
FLT1,23,Amygdala
LRRC4C,24,Amygdala
QKI,25,Amygdala
OPCML,26,Amygdala
MMD2,27,Amygdala
LAMA2,28,Amygdala
CSMD1,29,Amygdala
PPP2R2B,30,Amygdala
MT-ND4,31,Amygdala
ARGLU1,32,Amygdala
CTNNA2,33,Amygdala
PLXDC2,34,Amygdala
MT-CO2,35,Amygdala
DLC1,36,Amygdala
PRRC2C,37,Amygdala
ANKS1B,38,Amygdala
ST6GALNAC3,39,Amygdala
CADM2,40,Amygdala
NTM,41,Amygdala
SLC6A1,42,Amygdala
DOCK4,43,Amygdala
LINC00486,44,Amygdala
LRMDA,45,Amygdala
CTNNA3,46,Amygdala
XYLT1,47,Amygdala
NPAS3,48,Amygdala
SLC44A1,49,Amygdala
KAZN,50,Amygdala
NEAT1,51,Amygdala
FMNL2,52,Amygdala
MAGI2,53,Amygdala
TRIM2,54,Amygdala
PDZD2,55,Amygdala
MT-CO3,56,Amygdala
GPM6A,57,Amygdala
PITPNC1,58,Amygdala
CALD1,59,Amygdala
NRG3,60,Amygdala
NRXN3,61,Amygdala
ADARB2,62,Amygdala
GPC5,63,Amygdala
SYNE1,64,Amygdala
DPP6,65,Amygdala
XIST,66,Amygdala
ZBTB20,67,Amygdala
ADGRB3,68,Amygdala
GRID2,69,Amygdala
NLGN1,70,Amygdala
PCDH15,71,Amygdala
SEZ6L,72,Amygdala
PNISR,73,Amygdala
MT-CO1,74,Amygdala
RBMS3,75,Amygdala
AGAP1,76,Amygdala
MECOM,77,Amygdala
FTX,78,Amygdala
RBFOX1,79,Amygdala
CEMIP,80,Amygdala
MT-ATP6,81,Amygdala
ERBB4,82,Amygdala
CTNND2,83,Amygdala
THSD4,84,Amygdala
HIP1,85,Amygdala
WWOX,86,Amygdala
SLC39A10,87,Amygdala
GNG7,88,Amygdala
ARL15,89,Amygdala
SLC1A2,90,Amygdala
ABCB1,91,Amygdala
SIK3,92,Amygdala
STOX2,93,Amygdala
SORBS1,94,Amygdala
MAP7,95,Amygdala
ATP1A2,96,Amygdala
EPN2,97,Amygdala
ADGRV1,98,Amygdala
PDE4B,99,Amygdala
SGIP1,100,Amygdala
MALAT1,1,Anterior Cerebral Artery
PDE4D,2,Anterior Cerebral Artery
PRKG1,3,Anterior Cerebral Artery
LPP,4,Anterior Cerebral Artery
MYH11,5,Anterior Cerebral Artery
NEAT1,6,Anterior Cerebral Artery
CALD1,7,Anterior Cerebral Artery
TALAM1,8,Anterior Cerebral Artery
DMD,9,Anterior Cerebral Artery
CACNA1C,10,Anterior Cerebral Artery
CEMIP,11,Anterior Cerebral Artery
TAGLN,12,Anterior Cerebral Artery
ACTA2,13,Anterior Cerebral Artery
DLG2,14,Anterior Cerebral Artery
COL4A1,15,Anterior Cerebral Artery
SORBS1,16,Anterior Cerebral Artery
CARMN,17,Anterior Cerebral Artery
SORBS2,18,Anterior Cerebral Artery
LTBP1,19,Anterior Cerebral Artery
KCNMA1,20,Anterior Cerebral Artery
RORA,21,Anterior Cerebral Artery
RBPMS,22,Anterior Cerebral Artery
MIR99AHG,23,Anterior Cerebral Artery
TPM1,24,Anterior Cerebral Artery
PDE3A,25,Anterior Cerebral Artery
RGS6,26,Anterior Cerebral Artery
DSTN,27,Anterior Cerebral Artery
EXT1,28,Anterior Cerebral Artery
MACF1,29,Anterior Cerebral Artery
TPM2,30,Anterior Cerebral Artery
EBF1,31,Anterior Cerebral Artery
KAZN,32,Anterior Cerebral Artery
COL4A2,33,Anterior Cerebral Artery
ZFHX3,34,Anterior Cerebral Artery
SYNPO2,35,Anterior Cerebral Artery
CRIM1,36,Anterior Cerebral Artery
PTPRG,37,Anterior Cerebral Artery
FTX,38,Anterior Cerebral Artery
RBMS3,39,Anterior Cerebral Artery
SOX5,40,Anterior Cerebral Artery
MYL9,41,Anterior Cerebral Artery
PDE1C,42,Anterior Cerebral Artery
ZBTB20,43,Anterior Cerebral Artery
SLIT3,44,Anterior Cerebral Artery
FOXP1,45,Anterior Cerebral Artery
LAMA2,46,Anterior Cerebral Artery
ARL15,47,Anterior Cerebral Artery
IGFBP7,48,Anterior Cerebral Artery
PDZRN4,49,Anterior Cerebral Artery
MBNL1,50,Anterior Cerebral Artery
FN1,51,Anterior Cerebral Artery
NAV2,52,Anterior Cerebral Artery
SGIP1,53,Anterior Cerebral Artery
WWOX,54,Anterior Cerebral Artery
EEF1A1,55,Anterior Cerebral Artery
PPP1R12B,56,Anterior Cerebral Artery
SPARCL1,57,Anterior Cerebral Artery
ADAMTS9-AS2,58,Anterior Cerebral Artery
SVIL,59,Anterior Cerebral Artery
RYR2,60,Anterior Cerebral Artery
AKAP12,61,Anterior Cerebral Artery
NFIA,62,Anterior Cerebral Artery
IGF1R,63,Anterior Cerebral Artery
AOPEP,64,Anterior Cerebral Artery
VIM,65,Anterior Cerebral Artery
IMMP2L,66,Anterior Cerebral Artery
C1QTNF7-AS1,67,Anterior Cerebral Artery
AKAP6,68,Anterior Cerebral Artery
ETV6,69,Anterior Cerebral Artery
SDK1,70,Anterior Cerebral Artery
PDLIM5,71,Anterior Cerebral Artery
TRIO,72,Anterior Cerebral Artery
ACTB,73,Anterior Cerebral Artery
UTRN,74,Anterior Cerebral Artery
RCAN2,75,Anterior Cerebral Artery
DST,76,Anterior Cerebral Artery
ESYT2,77,Anterior Cerebral Artery
UBE2E2,78,Anterior Cerebral Artery
FLNA,79,Anterior Cerebral Artery
SETBP1,80,Anterior Cerebral Artery
ITGA1,81,Anterior Cerebral Artery
UNC13C,82,Anterior Cerebral Artery
GPC6,83,Anterior Cerebral Artery
ROR1,84,Anterior Cerebral Artery
FRY,85,Anterior Cerebral Artery
FBXL7,86,Anterior Cerebral Artery
COL8A1,87,Anterior Cerebral Artery
ARHGAP10,88,Anterior Cerebral Artery
HPSE2,89,Anterior Cerebral Artery
AKT3,90,Anterior Cerebral Artery
PRUNE2,91,Anterior Cerebral Artery
SAMD4A,92,Anterior Cerebral Artery
NR2F2-AS1,93,Anterior Cerebral Artery
PDZRN3,94,Anterior Cerebral Artery
PARD3B,95,Anterior Cerebral Artery
LMOD1,96,Anterior Cerebral Artery
TNS1,97,Anterior Cerebral Artery
NTRK3,98,Anterior Cerebral Artery
MAGI2,99,Anterior Cerebral Artery
CPED1,100,Anterior Cerebral Artery
MALAT1,1,Anterior Cingulate Cortex
PCDH9,2,Anterior Cingulate Cortex
IL1RAPL1,3,Anterior Cingulate Cortex
RNF220,4,Anterior Cingulate Cortex
QKI,5,Anterior Cingulate Cortex
CTNNA3,6,Anterior Cingulate Cortex
DLG2,7,Anterior Cingulate Cortex
DSCAM,8,Anterior Cingulate Cortex
PPP2R2B,9,Anterior Cingulate Cortex
LSAMP,10,Anterior Cingulate Cortex
FLT1,11,Anterior Cingulate Cortex
MAGI2,12,Anterior Cingulate Cortex
MACF1,13,Anterior Cingulate Cortex
NEAT1,14,Anterior Cingulate Cortex
FRMD4A,15,Anterior Cingulate Cortex
DST,16,Anterior Cingulate Cortex
PDE4B,17,Anterior Cingulate Cortex
NTM,18,Anterior Cingulate Cortex
RORA,19,Anterior Cingulate Cortex
NRXN1,20,Anterior Cingulate Cortex
SLC44A1,21,Anterior Cingulate Cortex
NRXN3,22,Anterior Cingulate Cortex
PITPNC1,23,Anterior Cingulate Cortex
FMNL2,24,Anterior Cingulate Cortex
TNR,25,Anterior Cingulate Cortex
PTPRG,26,Anterior Cingulate Cortex
ST18,27,Anterior Cingulate Cortex
SLC1A2,28,Anterior Cingulate Cortex
MT-ATP6,29,Anterior Cingulate Cortex
DLC1,30,Anterior Cingulate Cortex
OPCML,31,Anterior Cingulate Cortex
TRIM2,32,Anterior Cingulate Cortex
LRP1B,33,Anterior Cingulate Cortex
MT-ND4,34,Anterior Cingulate Cortex
CADM2,35,Anterior Cingulate Cortex
PLXDC2,36,Anterior Cingulate Cortex
LRRC4C,37,Anterior Cingulate Cortex
MT-CO3,38,Anterior Cingulate Cortex
ZBTB20,39,Anterior Cingulate Cortex
ST6GALNAC3,40,Anterior Cingulate Cortex
DOCK4,41,Anterior Cingulate Cortex
LUC7L3,42,Anterior Cingulate Cortex
DPP10,43,Anterior Cingulate Cortex
CTNNA2,44,Anterior Cingulate Cortex
LHFPL3,45,Anterior Cingulate Cortex
FRMD5,46,Anterior Cingulate Cortex
NKAIN2,47,Anterior Cingulate Cortex
SLC24A2,48,Anterior Cingulate Cortex
NPAS3,49,Anterior Cingulate Cortex
SIK3,50,Anterior Cingulate Cortex
MOBP,51,Anterior Cingulate Cortex
KCNIP4,52,Anterior Cingulate Cortex
MT-CO2,53,Anterior Cingulate Cortex
ELMO1,54,Anterior Cingulate Cortex
MT-ND3,55,Anterior Cingulate Cortex
GPM6A,56,Anterior Cingulate Cortex
RBFOX1,57,Anterior Cingulate Cortex
SLC6A1,58,Anterior Cingulate Cortex
CSMD1,59,Anterior Cingulate Cortex
MT-CO1,60,Anterior Cingulate Cortex
PTPRD,61,Anterior Cingulate Cortex
ATP10A,62,Anterior Cingulate Cortex
GPC5,63,Anterior Cingulate Cortex
HSP90AA1,64,Anterior Cingulate Cortex
AGAP1,65,Anterior Cingulate Cortex
PIP4K2A,66,Anterior Cingulate Cortex
SLC5A11,67,Anterior Cingulate Cortex
ADGRB3,68,Anterior Cingulate Cortex
LAMA2,69,Anterior Cingulate Cortex
LRMDA,70,Anterior Cingulate Cortex
MAP7,71,Anterior Cingulate Cortex
KAZN,72,Anterior Cingulate Cortex
CALD1,73,Anterior Cingulate Cortex
MAN2A1,74,Anterior Cingulate Cortex
SLC7A14-AS1,75,Anterior Cingulate Cortex
SYNE1,76,Anterior Cingulate Cortex
DNM3,77,Anterior Cingulate Cortex
AKAP12,78,Anterior Cingulate Cortex
DOCK10,79,Anterior Cingulate Cortex
PHLPP1,80,Anterior Cingulate Cortex
NRG3,81,Anterior Cingulate Cortex
TMTC2,82,Anterior Cingulate Cortex
ANKS1B,83,Anterior Cingulate Cortex
NCAM2,84,Anterior Cingulate Cortex
NLGN1,85,Anterior Cingulate Cortex
MMD2,86,Anterior Cingulate Cortex
RBM25,87,Anterior Cingulate Cortex
PDZD2,88,Anterior Cingulate Cortex
CTNND2,89,Anterior Cingulate Cortex
WWOX,90,Anterior Cingulate Cortex
XIST,91,Anterior Cingulate Cortex
FTX,92,Anterior Cingulate Cortex
PRRC2C,93,Anterior Cingulate Cortex
SGIP1,94,Anterior Cingulate Cortex
ARGLU1,95,Anterior Cingulate Cortex
POLR2F,96,Anterior Cingulate Cortex
AUTS2,97,Anterior Cingulate Cortex
